Test  | A*        | A* time   | A* len    | D* Lite   | D* time   | D* len    
945   | Path found| 0.292     | 70        | Path found| 2.843     | 70        
946   | Path found| 0.192     | 73        | Path found| 3.092     | 73        
947   | Path found| 0.340     | 79        | Path found| 3.641     | 79        
948   | Path found| 0.244     | 72        | Path found| 2.955     | 72        
949   | Path found| 0.366     | 71        | Path found| 2.941     | 71        
950   | Path found| 0.313     | 73        | Path found| 2.966     | 73        
951   | Path found| 0.383     | 78        | Path found| 3.452     | 78        
952   | Path found| 0.894     | 80        | Path found| 3.806     | 80        
953   | Path found| 0.321     | 73        | Path found| 3.147     | 73        
954   | Path found| 0.247     | 73        | Path found| 3.167     | 73        
955   | Path found| 0.337     | 74        | Path found| 3.105     | 74        
956   | Path found| 0.192     | 71        | Path found| 2.761     | 71        
957   | Path found| 0.277     | 71        | Path found| 3.014     | 71        
958   | Path found| 0.304     | 77        | Path found| 3.492     | 77        
959   | Path found| 0.480     | 82        | Path found| 3.700     | 82        
960   | Path found| 0.571     | 76        | Path found| 3.307     | 76        
961   | Path found| 0.435     | 71        | Path found| 2.962     | 71        
962   | Path found| 0.298     | 73        | Path found| 2.949     | 73        
963   | Path found| 0.516     | 73        | Path found| 2.966     | 73        
964   | Path found| 0.562     | 80        | Path found| 3.595     | 80        
965   | Path found| 0.242     | 73        | Path found| 3.073     | 73        
966   | Path found| 0.326     | 84        | Path found| 4.187     | 84        
967   | Path found| 0.499     | 77        | Path found| 3.508     | 77        
968   | Path found| 0.471     | 72        | Path found| 2.955     | 72        
969   | Path found| 0.522     | 73        | Path found| 3.148     | 73        
970   | Path found| 0.573     | 81        | Path found| 3.749     | 81        
971   | Path found| 0.285     | 75        | Path found| 3.237     | 75        
972   | Path found| 0.267     | 71        | Path found| 2.760     | 71        
973   | Path found| 0.496     | 77        | Path found| 3.487     | 77        
974   | Path found| 0.464     | 81        | Path found| 3.811     | 81        
975   | Path found| 0.412     | 73        | Path found| 3.025     | 73        
976   | Path found| 0.329     | 74        | Path found| 3.073     | 74        
977   | Path found| 0.547     | 71        | Path found| 2.877     | 71        
978   | Path found| 0.679     | 80        | Path found| 3.798     | 80        
979   | Path found| 0.410     | 80        | Path found| 3.748     | 80        
980   | Path found| 0.391     | 70        | Path found| 2.400     | 70        
981   | Path found| 0.478     | 76        | Path found| 3.354     | 76        
982   | Path found| 0.295     | 83        | Path found| 3.976     | 83        
983   | Path found| 0.342     | 81        | Path found| 3.584     | 81        
984   | Path found| 0.328     | 82        | Path found| 3.759     | 82        
985   | Path found| 0.505     | 72        | Path found| 3.000     | 72        
986   | Path found| 0.486     | 77        | Path found| 3.331     | 77        
987   | Path found| 0.263     | 73        | Path found| 3.178     | 73        
988   | Path found| 0.502     | 71        | Path found| 3.030     | 71        
989   | Path found| 0.672     | 72        | Path found| 2.957     | 72        
990   | Path found| 0.294     | 73        | Path found| 3.074     | 73        
991   | Path found| 0.465     | 78        | Path found| 3.348     | 78        
992   | Path found| 0.272     | 79        | Path found| 3.624     | 79        
993   | Path found| 0.296     | 71        | Path found| 3.000     | 71        
994   | Path found| 0.365     | 72        | Path found| 2.942     | 72        
995   | Path found| 0.348     | 71        | Path found| 2.893     | 71        
996   | Path found| 0.532     | 75        | Path found| 3.082     | 75        
997   | Path found| 0.496     | 72        | Path found| 2.853     | 72        
998   | Path found| 0.426     | 73        | Path found| 2.980     | 73        
999   | Path found| 0.287     | 72        | Path found| 2.954     | 72        
1000  | Path found| 0.298     | 74        | Path found| 3.226     | 74        
---------------------------------------------------------------------------------
A* Static      | ok=1000 no_path=0    exceptions=0    avg=0.430    ms min=0.176    ms max=1.038    ms len_avg=74.557   len_min=70     len_max=89    
D* Static      | ok=1000 no_path=0    exceptions=0    avg=3.206    ms min=1.782    ms max=8.554    ms len_avg=74.557   len_min=70     len_max=89    
